ㄱㅓㄷㅡㅂㅈㅔㄱㅗㅂ,중1-1,거듭제곱,mid11_11,정의,곱셈의 거듭제곱,"밑, 지수",거듭제곱 이야기,역사,퀴즈,,,,,,,,
ㄱㅕㄹㅎㅏㅂㅂㅓㅂㅊㅣㄱ,중1-1,결합법칙,mid11_12,덧셈의 결합법칙,곱셈의 결합법칙,퀴즈,,,,,,,,,,,
ㄱㅖㅅㅜ,중1-1,계수,mid11_13,정의,퀴즈,,,,,,,,,,,,
ㄱㅛㅎㅗㅏㄴㅂㅓㅂㅊㅣㄱ,중1-1,교환법칙,mid11_14,덧셈의 교환법칙,곱셈의 교환법칙,퀴즈,,,,,,,,,,,
ㄱㅡㄴ,중1-1,근,mid11_15,정의,예시,퀴즈,,,,,,,,,,,
ㄷㅏㅎㅏㅇㅅㅣㄱ,중1-1,다항식,mid11_16,정의,다항식의 차수,퀴즈,,,,,,,,,,,
ㄷㅏㄴㅎㅏㅇㅅㅣㄱ,중1-1,단항식,mid11_17,정의,퀴즈,,,,,,,,,,,,
ㄷㅗㅇㄹㅠㅎㅏㅇ,중1-1,동류항,mid11_18,정의,동류항의 덧셈과 뺄셈,다항식 간단히 더하기,퀴즈,,,,,,,,,,
ㄷㅡㅇㅅㅣㄱ,중1-1,등식,mid11_19,정의,"좌변, 우변, 양변",성질,퀴즈,,,,,,,,,,
ㅁㅣㅈㅣㅅㅜ,중1-1,미지수,mid11_6,정의,초등학교 때의 미지수,역사,,,,,,,,,,,
ㅁㅣㅌ,중1-1,밑,mid11_20,정의,퀴즈,,,,,,,,,,,,
ㅂㅏㄴㅂㅣㄹㅖ,중1-1,반비례,mid11_21,정의,관계식,그래프의 성질,음악과 반비례,퀴즈,,,,,,,,,
ㅂㅏㅇㅈㅓㅇㅅㅣㄱ,중1-1,방정식,mid11_22,정의,퀴즈,,,,,,,,,,,,
ㅂㅕㄴㅅㅜ,중1-1,변수,mid11_23,정의,퀴즈,,,,,,,,,,,,
ㅂㅜㄴㅂㅐㅂㅓㅂㅊㅣㄱ,중1-1,분배법칙,mid11_24,정의,주의점,퀴즈,,,,,,,,,,,
ㅅㅏㅇㅅㅜㅎㅏㅇ,중1-1,상수항,mid11_25,정의,퀴즈,,,,,,,,,,,,
ㅅㅓㄹㅗㅅㅗ,중1-1,서로소,mid11_5,정의,퀴즈,,,,,,,,,,,,
ㅅㅗㅅㅜ,중1-1,소수,mid11_1,정의,다른 의미의 소수,에라토스테네스의 체,퀴즈,,,,,,,,,,
ㅅㅗㅇㅣㄴㅅㅜ,중1-1,소인수,mid11_3,정의,퀴즈,,,,,,,,,,,,
ㅅㅗㅇㅣㄴㅅㅜㅂㅜㄴㅎㅐ,중1-1,소인수분해,mid11_51,정의,소인수분해하는 방법,퀴즈,,,,,,,,,,,
ㅅㅜㅈㅣㄱㅅㅓㄴ,중1-1,수직선,mid11_42,정의,수직선 그리는 법,수직선 위 유리수,퀴즈,,,,,,,,,,
ㅅㅜㄴㅅㅓㅆㅏㅇ,중1-1,순서쌍,mid11_43,정의,생활 속의 순서쌍,퀴즈,,,,,,,,,,,
ㅇㅑㅇㅅㅜ,중1-1,양수,mid11_7,정의,퀴즈,,,,,,,,,,,,
ㅇㅑㅇㅇㅡㅣㅂㅜㅎㅗ,중1-1,양의 부호,mid11_44,정의,부호와 연산기호,퀴즈,,,,,,,,,,,
ㅇㅑㅇㅇㅡㅣㅇㅠㄹㅣㅅㅜ,중1-1,양의 유리수,mid11_10,정의,유리수의 분류,퀴즈,,,,,,,,,,,
ㅇㅑㅇㅇㅡㅣㅈㅓㅇㅅㅜ,중1-1,양의 정수,mid11_45,정의,정수의 분류,자연수,퀴즈,,,,,,,,,,
xㅈㅗㅏㅍㅛ,중1-1,x좌표,mid11_46,정의,각 사분면의 부호,퀴즈,,,,,,,,,,,
xㅊㅜㄱ,중1-1,x축,mid11_47,정의,역사-데카르트,퀴즈,,,,,,,,,,,
ㅇㅕㄱㅅㅜ,중1-1,역수,mid11_48,정의,나눗셈에서 역수,퀴즈,,,,,,,,,,,
yㅈㅗㅏㅍㅛ,중1-1,y좌표,mid11_49,정의,각사분면의부호,퀴즈,,,,,,,,,,,
yㅊㅜㄱ,중1-1,y축,mid11_50,정의,퀴즈,,,,,,,,,,,,
ㅇㅜㅓㄴㅈㅓㅁ,중1-1,원점,mid11_27,정의,좌표,,,,,,,,,,,,
ㅇㅠㄹㅣㅅㅜ,중1-1,유리수,mid11_28,정의,유리수의 분류,퀴즈,,,,,,,,,,,
ㅇㅡㅁㅅㅜ,중1-1,음수,mid11_8,정의,퀴즈,,,,,,,,,,,,
ㅇㅡㅁㅇㅡㅣㅂㅜㅎㅗ,중1-1,음의 부호,mid11_29,정의,부호와 연산기호,퀴즈,,,,,,,,,,,
ㅇㅡㅁㅇㅡㅣㅇㅠㄹㅣㅅㅜ,중1-1,음의 유리수,mid11_26,정의,유리수의 분류,퀴즈,,,,,,,,,,,
ㅇㅡㅁㅇㅡㅣㅈㅓㅇㅅㅜ,중1-1,음의 정수,mid11_30,정의,정수의 분류,퀴즈,,,,,,,,,,,
ㅇㅣㅎㅏㅇ,중1-1,이항,mid11_31,정의,등식의 성질,예시,퀴즈,,,,,,,,,,
ㅇㅣㄹㅊㅏㅂㅏㅇㅈㅓㅇㅅㅣㄱ,중1-1,일차방정식,mid11_32,정의,풀이방법,예제,퀴즈,,,,,,,,,,
ㅇㅣㄹㅊㅏㅅㅣㄱ,중1-1,일차식,mid11_33,정의,"곱셈,나눗셈","덧셈,뺄셈",퀴즈,,,,,,,,,,
ㅈㅓㄹㄷㅐㅅㄱㅏㅂㅅ,중1-1,절댓값,mid11_34,정의,수직선 위 절댓값,수의 대소 관계,퀴즈,,,,,,,,,,
ㅈㅓㅇㅂㅣㄹㅖ,중1-1,정비례,mid11_35,정의,관계식,그래프의 성질,퀴즈,,,,,,,,,,
ㅈㅓㅇㅅㅜ,중1-1,정수,mid11_9,정의,정수의 분류,수의 덧셈,수의 뺄셈,수의 곱셈,수의 나눗셈,혼합 계산,,,,,,,
ㅅㅏㅂㅜㄴㅁㅕㄴ,중1-1,사분면,mid11_36,제1사분면,제2사분면,제3사분면,제4사분면,,,,,,,,,,
ㅈㅗㅏㅍㅛ,중1-1,좌표,mid11_39,정의,퀴즈,,,,,,,,,,,,
ㅈㅗㅏㅍㅛㅊㅜㄱ,중1-1,좌표축,mid11_40,정의,,,,,,,,,,,,,
ㅈㅗㅏㅍㅛㅍㅕㅇㅁㅕㄴ,중1-1,좌표평면,mid11_53,정의,,,,,,,,,,,,,
ㅈㅣㅅㅜ,중1-1,지수,mid11_4,정의,지수의 확장,지수법칙(1),지수법칙(2),지수법칙(3),지수법칙(4),,,,,,,,
ㅊㅏㅅㅜ,중1-1,차수,mid11_52,정의,다항식의 차수,퀴즈,,,,,,,,,,,
ㅎㅏㅂㅅㅓㅇㅅㅜ,중1-1,합성수,mid11_2,정의,퀴즈,,,,,,,,,,,,
ㅎㅏㅇ,중1-1,항,mid11_54,정의,퀴즈,,,,,,,,,,,,
ㅎㅏㅇㄷㅡㅇㅅㅣㄱ,중1-1,항등식,mid11_55,정의,확인 방법,퀴즈,,,,,,,,,,,
ㅎㅐ,중1-1,해,mid11_56,정의,퀴즈,,,,,,,,,,,,
ㄱㅏㄱㅃㅜㄹㄷㅐ,중1-2,각뿔대,mid12_1,정의,여러 입체도형 비교,,,,,,,,,,,,
ㄱㅖㄱㅡㅂ,중1-2,계급,mid12_2,정의,계급값,,,,,,,,,,,,
ㄱㅛㄱㅏㄱ,중1-2,교각,mid12_4,정의,퀴즈,,,,,,,,,,,,
ㄱㅛㅅㅓㄴ,중1-2,교선,mid12_5,정의,퀴즈,,,,,,,,,,,,
ㄲㅗㅇㅣㄴㅇㅜㅣㅊㅣ,중1-2,꼬인 위치,mid12_6,정의,정육면체,정사면체,,,,,,,,,,,
ㄴㅐㄱㅏㄱ,중1-2,내각,mid12_7,정의,내각의 합,퀴즈,,,,,,,,,,,
ㄷㅏㅁㅕㄴㅊㅔ,중1-2,다면체,mid12_8,정의,특징,정다면체,,,,,,,,,,,
ㄷㅐㄱㅏㄱ,중1-2,대각,mid12_9,정의,퀴즈,,,,,,,,,,,,
ㄷㅐㅂㅕㄴ,중1-2,대변,mid12_10,정의,퀴즈,,,,,,,,,,,,
ㄷㅗㅅㅜ,중1-2,도수,mid12_11,정의,퀴즈,,,,,,,,,,,,
ㄷㅗㅅㅜㅂㅜㄴㅍㅗㄷㅏㄱㅏㄱㅎㅕㅇ,중1-2,도수분포다각형,mid12_12,정의,특징,퀴즈,,,,,,,,,,,
ㄷㅗㅅㅜㅂㅜㄴㅍㅗㅍㅛ,중1-2,도수분포표,mid12_13,정의,주의점,퀴즈,,,,,,,,,,,
ㄷㅗㅇㅇㅜㅣㄱㅏㄱ,중1-2,동위각,mid12_14,정의,성질,퀴즈,,,,,,,,,,,
ㄷㅜㅈㅓㅁㅅㅏㅇㅣㅇㅡㅣㄱㅓㄹㅣ,중1-2,두 점 사이의 거리,mid12_15,정의,퀴즈,,,,,,,,,,,,
ㅁㅏㅈㄲㅗㄱㅈㅣㄱㅏㄱ,중1-2,맞꼭지각,mid12_16,정의,퀴즈,,,,,,,,,,,,
ㅂㅕㄴㄹㅑㅇ,중1-2,변량,mid12_17,정의,,,,,,,,,,,,,
ㅂㅜㅊㅐㄲㅗㄹ,중1-2,부채꼴,mid12_18,정의,생활 속 부채꼴,성질,넓이,,,,,,,,,,
ㅅㅏㅁㄱㅏㄱㅎㅕㅇㅇㅡㅣㅎㅏㅂㄷㅗㅇㅈㅗㄱㅓㄴ,중1-2,삼각형의 합동 조건,mid12_19,정의,SSS 합동,SAS 합동,ASA 합동,퀴즈,,,,,,,,,
ㅅㅏㅇㄷㅐㄷㅗㅅㅜ,중1-2,상대도수,mid12_20,정의,특징,퀴즈,,,,,,,,,,,
ㅅㅜㅅㅓㄴㅇㅢㅂㅏㄹ,중1-2,수선의 발,mid12_21,정의,,,,,,,,,,,,,
ㅅㅜㅈㅣㄱㅇㅣㄷㅡㅇㅂㅜㄴㅅㅓㄴ,중1-2,수직이등분선,mid12_22,정의,,,,,,,,,,,,,
ㅇㅓㅅㄱㅏㄱ,중1-2,엇각,mid12_23,정의,성질,퀴즈,,,,,,,,,,,
ㅇㅗㅣㄱㅏㄱ,중1-2,외각,mid12_24,정의,삼각형의 외각,다각형의 외각,정다각형의 외각,퀴즈,,,,,,,,,
ㅇㅜㅓㄴㅃㅜㄹㄷㅐ,중1-2,원뿔대,mid12_25,정의,원뿔대의 구성,원뿔대의 단면,원뿔대의 부피,퀴즈,,,,,,,,,
ㅈㅏㄱㄷㅗ,중1-2,작도,mid12_26,정의,선분 작도하기,각도 작도하기,삼각형 작도하기(1),삼각형 작도하기(2),,,,,,,,,
ㅈㅓㅇㄷㅏㅁㅕㄴㅊㅔ,중1-2,정다면체,mid12_27,정의,종류,읽을거리,"면,꼭짓점,모서리",,,,,,,,,,
ㅈㅜㄹㄱㅣㅇㅗㅏㅇㅣㅍㄱㅡㄹㅣㅁ,중1-2,줄기와 잎 그림,mid12_28,정의,작성 방법,장단점,,,,,,,,,,,
ㅈㅜㅇㅅㅣㅁㄱㅏㄱ,중1-2,중심각,mid12_29,정의,성질,,,,,,,,,,,,
ㅈㅜㅇㅈㅓㅁ,중1-2,중점,mid12_30,정의,퀴즈,,,,,,,,,,,,
ㅈㅣㄱㄱㅛ,중1-2,직교,mid12_31,정의,,,,,,,,,,,,,
ㅍㅕㅇㄱㅏㄱ,중1-2,평각,mid12_32,정의,,,,,,,,,,,,,
ㅎㅏㄹㅅㅓㄴ,중1-2,할선,mid12_33,정의,할선과 접선,,,,,,,,,,,,
ㅎㅕㄴ,중1-2,현,mid12_34,정의,현의 성질,호와 현,원의 지름과 현,퀴즈,,,,,,,,,
ㅎㅗ,중1-2,호,mid12_35,정의,호의 표현,호의 성질(1),호의 성질(2),호의 길이,생활 속 '호',,,,,,,,
ㅎㅗㅏㄹㄲㅗㄹ,중1-2,활꼴,mid12_36,정의,활꼴과 부채꼴,퀴즈,,,,,,,,,,,
ㅎㅗㅣㅈㅓㄴㅊㅔ,중1-2,회전체,mid12_37,정의,성질(1),성질(2),특별한 회전체 - 구,퀴즈,,,,,,,,,
ㅎㅗㅣㅈㅓㄴㅊㅜㄱ,중1-2,회전축,mid12_38,정의,퀴즈,,,,,,,,,,,,
ㅎㅣㅅㅡㅌㅗㄱㅡㄹㅐㅁ,중1-2,히스토그램,mid12_39,정의,특징,막대그래프와 차이,그리는 방법,직사각형의 길이와 넓이,퀴즈,퀴즈,,,,,,,
xㅈㅓㄹㅍㅕㄴ,중2-1,x절편,mid21_1,정의,구하는 방법,퀴즈,,,,,,,,,,,
yㅈㅓㄹㅍㅕㄴ,중2-1,y절편,mid21_2,정의,구하는 방법,퀴즈,절편으로 그래프 그리기,,,,,,,,,,
ㄱㅣㅇㅜㄹㄱㅣ,중2-1,기울기,mid21_3,정의,기울기 식,퀴즈,,,,,,,,,,,
ㅁㅜㅎㅏㄴㅅㅗㅅㅜ,중2-1,무한소수,mid21_4,정의,무한소수와 유리수,퀴즈,,,,,,,,,,,
ㅂㅜㄷㅡㅇㅅㅣㄱ,중2-1,부등식,mid21_5,정의,부등호,부등식의 해,부등식의 성질,,,,,,,,,,
ㅅㅜㄴㅎㅗㅏㄴㅁㅏㄷㅣ,중2-1,순환마디,mid21_6,정의,표현 방법,퀴즈,,,,,,,,,,,
ㅅㅜㄴㅎㅗㅏㄴㅅㅗㅅㅜ,중2-1,순환소수,mid21_7,정의,표현방법,순환소수의 분수표현,순환소수가 되는 분수,유리수와 순환소수,,,,,,,,,
ㅇㅕㄴㄹㅣㅂㅂㅏㅇㅈㅓㅇㅅㅣㄱ,중2-1,연립방정식,mid21_8,정의,연립방정식의 해,가감법,대입법,등치법,,,,,,,,,
ㅇㅠㅎㅏㄴㅅㅗㅅㅜ,중2-1,유한소수,mid21_9,정의,특징,유한소수와 유리수,역사-시몬 스테빈,,,,,,,,,,
ㅇㅣㄹㅊㅏㅂㅜㄷㅡㅇㅅㅣㄱ,중2-1,일차부등식,mid21_10,정의,,,,,,,,,,,,,
ㅇㅣㄹㅊㅏㅎㅏㅁㅅㅜ,중2-1,일차함수,mid21_11,정의,,,,,,,,,,,,,
ㅈㅓㄴㄱㅐ,중2-1,전개,mid21_12,정의,다른 의미,,,,,,,,,,,,
ㅈㅣㄱㅅㅓㄴㅇㅡㅣㅂㅏㅇㅈㅓㅇㅅㅣㄱ,중2-1,직선의 방정식,mid21_13,정의,,,,,,,,,,,,,
ㅍㅕㅇㅎㅐㅇㅇㅣㄷㅗㅇ,중2-1,평행이동,mid21_14,정의,일차함수의 평행이동,,,,,,,,,,,,
ㅎㅏㅁㅅㅜ,중2-1,함수,mid21_15,정의,참고,퀴즈,,,,,,,,,,,
ㅎㅏㅁㅅㅜㄱㅏㅂㅅ,중2-1,함수값,mid21_16,정의,,,,,,,,,,,,,
ㄴㅐㅅㅣㅁ,중2-2,내심,mid22_1,정의,성질,위치,퀴즈,,,,,,,,,,
ㄴㅐㅈㅓㅂ,중2-2,내접,mid22_2,정의,,,,,,,,,,,,,
ㄴㅐㅈㅓㅂㅇㅜㅓㄴ,중2-2,내접원,mid22_3,정의,퀴즈,,,,,,,,,,,,
ㄷㅏㄹㅁㅇㅡㅁ,중2-2,닮음,mid22_4,정의,기호,닮음의 성질,닮은 도형의 구성,항상 닮은 도형,퀴즈,,,,,,,,
ㄷㅏㄹㅁㅇㅡㅁㅂㅣ,중2-2,닮음비,mid22_5,정의,합동,"넓이, 부피와의 관계",원의 닮음비,,,,,,,,,,
ㅁㅜㄱㅔㅈㅜㅇㅅㅣㅁ,중2-2,무게중심,mid22_6,정의,삼각형의 중선,성질,삼각형의 무게중심과 넓이,퀴즈,,,,,,,,,
ㅅㅏㄱㅓㄴ,중2-2,사건,mid22_7,정의,,,,,,,,,,,,,
ㅅㅏㅁㄱㅏㄱㅎㅕㅇㅇㅡㅣㄷㅏㄹㅁㅇㅡㅁㅈㅗㄱㅓㄴ,중2-2,삼각형의 닮음 조건,mid22_8,정의,SSS 닮음,SAS 닮음,AA 닮음,이등변 삼각형,직각삼각형,,,,,,,,
ㅇㅗㅣㅅㅣㅁ,중2-2,외심,mid22_9,정의,성질,위치,퀴즈,,,,,,,,,,
ㅇㅗㅣㅈㅓㅂ,중2-2,외접,mid22_10,정의,,,,,,,,,,,,,
ㅇㅗㅣㅈㅓㅂㅇㅜㅓㄴ,중2-2,외접원,mid22_11,정의,퀴즈,,,,,,,,,,,,
ㅈㅓㅂㅅㅓㄴ,중2-2,접선,mid22_12,정의,성질,,,,,피라미드 높이,퀴즈,,,,,,
ㅈㅓㅂㅈㅓㅁ,중2-2,접점,mid22_13,정의,특징,,,,,,,,,,,,
ㅈㅓㅂㅎㅏㄴㄷㅏ,중2-2,접한다,mid22_14,정의,,,,,,,,,,,,,
ㅈㅜㅇㅅㅓㄴ,중2-2,중선,mid22_15,정의,특징,퀴즈,,,,,,,,,,,
ㅍㅣㅌㅏㄱㅗㄹㅏㅅㅡㅇㅡㅣㅈㅓㅇㄹㅣ,중2-2,피타고라스의 정리,mid22_16,정의,직각삼각형 조건,피타고라스 수,구고현의 정리,퀴즈,,,,,,,,,
ㅎㅗㅏㄱㄹㅠㄹ,중2-2,확률,mid22_17,정의,경우의 수와 확률,성질,두 사건의 확률,벤포드법칙,,,,,,,,,
ㄱㅡㄴㅇㅡㅣㄱㅗㅇㅅㅣㄱ,중3-1,근의 공식,mid31_1,정의,유도방법,근의 개수,근과 계수와의 관계,,,,,,,,,,
ㄱㅡㄴㅎㅗ,중3-1,근호,mid31_2,정의,근호의 역사,,,,,,,,,,,,
ㄲㅗㄱㅈㅣㅅㅈㅓㅁ,중3-1,꼭짓점,mid31_9,정의,,,,,,,,,,,,,
ㅁㅜㄹㅣㅅㅜ,중3-1,무리수,mid31_4,정의,역사,,,,,,,,,,,,
ㅂㅜㄴㅁㅗㅇㅡㅣㅇㅠㄹㅣㅎㅗㅏ,중3-1,분모의 유리화,mid31_6,정의,방법,유리화,,,,,,,,,,,
ㅅㅣㄹㅅㅜ,중3-1,실수,mid31_7,정의,연산,역사,,,,,,,,,,,
ㅇㅗㅏㄴㅈㅓㄴㅈㅔㄱㅗㅂㅅㅣㄱ,중3-1,완전제곱식,mid31_13,정의,이용하기,퀴즈,,,,,,,,,,,
ㅇㅣㅊㅏㅂㅏㅇㅈㅓㅇㅅㅣㄱ,중3-1,이차방정식,mid31_16,정의,풀이 방법,근의 공식,퀴즈,,,,,,,,,,
ㅇㅣㅊㅏㅎㅏㅁㅅㅜ,중3-1,이차함수,mid31_11,정의,그래프-1,그래프-2,그래프-3,그래프-4,최댓값과 최솟값,,,,,,,,
ㅇㅣㄴㅅㅜ,중3-1,인수,mid31_10,정의,,,,,,,,,,,,,
ㅇㅣㄴㅅㅜㅂㅜㄴㅎㅐ,중3-1,인수분해,mid31_12,정의,인수분해 공식,퀴즈,,,,,,,,,,,
ㅈㅔㄱㅗㅂㄱㅡㄴ,중3-1,제곱근,mid31_3,정의,양수의 제곱근,근호(루트),성질,대소 관계,제곱근의 곱셈,,,,,,,,
ㅈㅜㅇㄱㅡㄴ,중3-1,중근,mid31_5,정의,이차방정식의 중근,퀴즈,,,,퀴즈,,,,,,,
ㅊㅗㅣㄷㅐㅅㄱㅏㅂㅅ,중3-1,최댓값,mid31_8,정의,최댓값 구하기,퀴즈,,,,,,,,,,,
ㅊㅜㄱ,중3-1,축,mid31_14,정의,,,,,,,,,,,,,
ㅍㅗㅁㅜㄹㅅㅓㄴ,중3-1,포물선,mid31_15,정의,,,,,,제곱근의 나눗셈,제곱근표,,,,,,
ㄷㅐㅍㅛㅅㄱㅏㅂㅅ,중3-2,대푯값,mid32_1,정의,평균,중앙값,최빈값,퀴즈,,,,,,,,,
ㅂㅜㄴㅅㅏㄴ,중3-2,분산,mid32_2,정의,분산의 의미,도수분포표,퀴즈,,,,,,,,,,
ㅅㅏㄴㅍㅗㄷㅗ,중3-2,산포도,mid32_4,정의,편차,분산,표준편차,퀴즈,,,,,,,,,
ㅅㅏㅁㄱㅏㄱㅂㅣ,중3-2,삼각비,mid32_5,정의,삼각비의 값,예각의 삼각비,삼각비표,역사-지구와 달 거리,퀴즈,,,,,,,,
ㅇㅜㅓㄴㅈㅜㄱㅏㄱ,중3-2,원주각,mid32_10,정의,원주각과 중심각,원주각과 호의 길이,퀴즈,,,,,,,,,,
ㅈㅜㅇㅇㅏㅇㄱㅏㅂㅅ,중3-2,중앙값,mid32_6,정의,중앙값 구하기,평균과의 비교,,,,,,,,,,,
ㅊㅗㅣㅂㅣㄴㄱㅏㅂㅅ,중3-2,최빈값,mid32_7,정의,예시,,,,,,,,,,,,
ㅍㅕㄴㅊㅏ,중3-2,편차,mid32_13,정의,,,,,,,,,,,,,
ㅍㅛㅈㅜㄴㅍㅕㄴㅊㅏ,중3-2,표준편차,mid32_14,정의,,,,,,,,,,,,,
ㅍㅣㅌㅏㄱㅗㄹㅏㅅㅡㅇㅡㅣㅈㅓㅇㄹㅣ,중3-2,피타고라스의 정리,mid32_15,정의,직각삼각형의 조건,직사각형의 대각선,정삼각형의 높이,정육면체의 대각선,퀴즈,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
